utc,elapsed,rss_kb,footprint_kb,threads,pcpu,heap_alloc,heap_inuse,heap_objects,goroutines,fds,disk_files,disk_bytes,publishes_recent
2026-08-27T04:32:11Z,00:10,136416,106905,25,1.0,68718760,75292672,218275,274,16,814,38090603,1
2026-08-27T04:33:12Z,01:11,137440,91340,25,0.5,45636592,52051968,236960,274,16,814,38091337,1
2026-08-27T04:34:14Z,02:12,113056,79257,25,0.8,36664144,44769280,197925,274,16,814,38092291,2
2026-08-27T04:35:16Z,03:13,94016,79769,25,0.9,44257232,50610176,238893,274,16,814,38092262,2
2026-08-27T04:36:17Z,04:15,94320,75776,25,0.9,36648216,44605440,197876,274,16,814,38090476,3
2026-08-27T04:37:18Z,05:16,94336,75776,25,0.8,44026200,50364416,238251,273,15,814,38089996,3
2026-08-27T04:38:19Z,06:17,94400,75776,25,0.8,36683880,44711936,198073,273,15,814,38089443,4
2026-08-27T04:39:20Z,07:18,93872,75776,25,0.6,43443520,50159616,230817,273,15,814,38089443,4
2026-08-27T04:40:21Z,08:19,94144,75878,25,0.8,37771240,45293568,206051,273,15,814,38089442,5
2026-08-27T04:41:22Z,09:20,94192,75878,25,1.8,45431936,51527680,246799,273,15,814,38089309,5
2026-08-27T04:42:23Z,10:21,106240,89600,25,0.9,42857200,51871744,222786,277,19,814,38093663,6
2026-08-27T04:43:25Z,11:23,106688,89600,25,0.8,50488320,58007552,263142,276,18,814,38093663,6
2026-08-27T04:44:26Z,12:24,107024,82432,25,0.8,39196656,48087040,216765,275,17,814,38093664,7
2026-08-27T04:45:27Z,13:25,99184,82432,25,0.6,46129504,53796864,249537,275,17,814,38093664,7
2026-08-27T04:46:28Z,14:26,99488,75161,25,0.9,38502912,47177728,216382,274,16,814,38093595,8
2026-08-27T04:47:29Z,15:27,132416,116121,25,0.9,69409856,77250560,223578,274,16,814,38093844,9
2026-08-27T04:48:30Z,16:28,132432,117657,25,0.3,77757680,84041728,265575,273,15,814,38093844,10
2026-08-27T04:49:31Z,17:29,132832,99225,25,0.3,40592080,48553984,230499,273,15,814,38093844,10
2026-08-27T04:50:32Z,18:30,132848,99328,25,0.7,36631768,46112768,198792,273,15,814,38093844,11
2026-08-27T04:51:33Z,19:31,132880,74035,25,1.9,42332792,49553408,239470,273,15,814,38093845,11
2026-08-27T04:52:34Z,20:32,134384,90624,25,0.9,38335064,47587328,217652,275,17,814,38093836,12
