utc,elapsed,rss_kb,footprint_kb,threads,pcpu,heap_alloc,heap_inuse,heap_objects,goroutines,fds,disk_files,disk_bytes,publishes_recent
2026-08-26T22:49:34Z,00:11,113072,84889,25,0.8,53843816,57892864,263089,275,16,736,34896024,2
2026-08-26T22:50:36Z,01:12,116176,92672,32,6.0,63246280,68280320,284385,281,16,737,34917505,2
2026-08-26T22:51:37Z,02:13,120160,96358,32,8.8,69122496,74227712,299428,280,15,737,34917505,3
2026-08-26T22:52:38Z,03:14,123200,99942,31,8.4,62860160,68165632,246074,280,15,737,34917505,3
2026-08-26T22:53:39Z,04:15,132656,109260,32,8.3,68806032,74309632,267150,280,15,737,34917505,4
2026-08-26T22:54:41Z,05:16,119472,113459,32,2.9,57439648,63414272,203974,282,16,737,34923740,4
2026-08-26T22:55:42Z,06:18,117744,113664,32,1.9,45615248,53551104,153486,276,15,737,34931926,5
2026-08-26T22:56:43Z,07:19,117776,113664,32,1.1,55878408,62160896,198533,276,15,738,35071434,5
2026-08-26T22:57:44Z,08:20,116176,96665,32,0.4,45904560,53616640,154046,277,15,738,35071433,6
2026-08-26T22:58:46Z,09:21,116256,96665,32,4.2,56023512,61702144,215592,276,15,738,35071091,6
2026-08-26T22:59:47Z,10:23,117632,105881,31,1.7,46908544,55525376,164017,277,16,752,35621510,7
2026-08-26T23:00:48Z,11:24,118320,105881,31,0.2,58124928,64258048,217466,277,16,753,35875681,7
2026-08-26T23:01:49Z,12:25,118832,95027,31,0.2,46791928,54968320,163936,276,15,753,35870338,8
2026-08-26T23:02:50Z,13:26,112528,95027,32,0.2,57258384,63201280,209377,276,15,753,35865310,8
2026-08-26T23:03:51Z,14:27,94032,95027,32,0.6,47188000,55140352,164094,276,15,753,35865310,9
2026-08-26T23:04:53Z,15:29,140608,130150,31,2.7,67155456,73523200,180839,276,15,753,35865315,10
2026-08-26T23:05:54Z,16:30,140416,135680,32,1.5,79271048,84328448,236428,276,15,753,35864778,11
2026-08-26T23:06:55Z,17:31,98592,112640,32,2.3,50728024,58007552,172124,276,15,753,35864778,11
2026-08-26T23:07:56Z,18:32,83312,113561,31,1.2,63368984,68648960,235480,276,15,753,35864778,12
2026-08-26T23:08:57Z,19:33,98064,98816,31,1.3,49820776,56803328,180656,276,15,753,35863774,12
2026-08-26T23:09:58Z,20:34,134672,124006,31,1.8,74428824,83632128,216436,280,19,753,35867958,13
2026-08-26T23:11:00Z,21:36,122272,126156,32,0.8,85319024,93298688,269858,276,15,753,35867953,13
2026-08-26T23:12:01Z,22:37,115216,122880,32,1.2,54089536,64159744,193454,276,15,753,35868881,14
2026-08-26T23:13:02Z,23:38,116352,122880,32,1.9,60358096,69066752,238634,276,15,753,35868881,14
2026-08-26T23:14:03Z,24:39,115312,97587,31,0.5,51055368,60604416,184315,276,15,753,35868881,15
2026-08-26T23:15:04Z,25:40,115136,99225,31,1.5,60346296,68771840,237723,277,15,753,35868875,15
2026-08-26T23:16:05Z,26:41,109232,95129,31,4.3,50929976,59924480,193040,276,15,753,35841032,16
2026-08-26T23:17:06Z,27:42,98704,95744,31,2.5,59311784,67567616,238866,276,15,753,35841032,16
2026-08-26T23:18:08Z,28:44,92464,95641,31,2.7,52172472,61095936,201394,276,15,753,35841032,17
2026-08-26T23:19:09Z,29:45,92832,95744,31,2.2,60542920,68354048,246595,276,15,753,35841031,17
