utc,elapsed,rss_kb,footprint_kb,threads,pcpu,heap_alloc,heap_inuse,heap_objects,goroutines,fds,disk_files,disk_bytes,publishes_recent
2026-08-26T14:49:22Z,00:25,118688,92569,24,0.9,65643144,71344128,690239,302,16,1428,120285003,56
2026-08-26T14:49:53Z,00:57,119360,88780,24,1.0,43168992,51232768,293779,296,16,1428,120284628,61
2026-08-26T14:50:24Z,01:27,119392,89702,24,2.2,64228040,69885952,664425,296,16,1428,120284466,63
2026-08-26T14:50:55Z,01:58,119408,90624,24,1.2,54451392,60317696,496290,299,16,1428,120284379,66
2026-08-26T14:51:26Z,02:29,99232,90828,24,1.1,47516984,54288384,371513,290,16,1428,120284473,72
2026-08-26T14:51:57Z,03:00,99488,90828,24,0.9,40901080,49725440,263871,294,16,1428,120284473,80
2026-08-26T14:52:28Z,03:31,99536,90931,24,1.1,65141400,70729728,670548,293,16,1428,120284472,83
2026-08-26T14:52:59Z,04:02,95232,91340,24,0.7,53065520,58884096,466985,291,16,1428,120284473,85
2026-08-26T14:53:30Z,04:33,95360,91443,24,1.5,47949280,54902784,375723,278,16,1428,120284474,94
2026-08-26T14:54:01Z,05:04,95376,91545,24,0.3,39731752,49324032,246073,289,16,1428,120284474,98
2026-08-26T14:54:32Z,05:35,95392,91545,24,0.4,62392080,67903488,629729,287,16,1428,120284474,101
2026-08-26T14:55:03Z,06:06,95584,91750,24,0.1,52362064,58482688,447110,286,16,1428,120285038,105
2026-08-26T14:55:34Z,06:37,95712,91852,24,0.3,43710320,51568640,316300,283,16,1428,120284214,109
2026-08-26T14:56:04Z,07:08,95712,91852,24,0.7,36271160,47177728,185565,280,16,1428,120285415,114
2026-08-26T14:56:35Z,07:38,95712,91852,24,0.2,57590776,63471616,553606,281,16,1428,120285367,114
2026-08-26T14:57:06Z,08:10,95712,91852,24,1.7,46543920,53501952,346548,280,16,1428,120285367,115
2026-08-26T14:57:37Z,08:40,95728,91852,24,1.5,35399232,46866432,169779,275,16,1428,120285460,117
2026-08-26T14:58:08Z,09:11,95728,91852,24,1.5,57176936,63127552,537316,275,16,1428,120285459,117
2026-08-26T14:58:39Z,09:42,95728,91852,24,0.5,43497304,51027968,317332,275,16,1428,120285777,117
2026-08-26T14:59:10Z,10:13,100368,94515,24,2.3,46148144,53633024,351361,275,16,1428,120285956,152
2026-08-26T14:59:41Z,10:44,100592,94515,24,0.1,66710760,72622080,706070,275,16,1428,120285954,152
2026-08-26T15:00:12Z,11:15,100848,94515,24,2.1,52739168,58867712,461488,275,16,1428,120398611,152
2026-08-26T15:00:43Z,11:46,100976,94617,24,0.9,38897176,48472064,223275,274,15,1428,120398614,152
2026-08-26T15:01:14Z,12:17,100976,94617,24,2.1,62226344,67551232,597970,274,15,1428,120398604,153
2026-08-26T15:01:45Z,12:48,100672,93491,24,0.7,48704008,54697984,394527,274,15,1428,120398606,153
2026-08-26T15:02:16Z,13:19,100672,93491,24,4.5,36534240,47243264,187801,274,15,1428,120398606,153
2026-08-26T15:02:46Z,13:50,100672,93491,24,1.1,58957368,64544768,568940,274,15,1428,120398606,153
2026-08-26T15:03:17Z,14:21,100688,93491,24,1.4,46901304,53698560,372580,274,15,1428,120398607,154
2026-08-26T15:03:48Z,14:51,100688,93491,24,1.6,68022872,73433088,728194,274,15,1428,120398606,154
2026-08-26T15:04:19Z,15:22,195408,99225,24,1.1,52664192,64389120,494915,275,16,1428,120398628,162
2026-08-26T15:04:50Z,15:53,195408,99532,24,1.1,41868784,56270848,287923,275,16,1428,120398628,162
2026-08-26T15:05:21Z,16:24,195408,99020,24,0.8,64168016,75038720,659330,274,15,1428,120398626,163
2026-08-26T15:05:52Z,16:55,195424,98816,24,2.2,53318536,64503808,490151,274,15,1428,120398410,163
2026-08-26T15:06:23Z,17:26,195424,99020,24,1.0,41638808,55476224,289253,274,15,1428,120398416,163
2026-08-26T15:06:54Z,17:57,195440,99123,24,2.8,63137344,74129408,658420,274,15,1428,120398397,163
2026-08-26T15:07:25Z,18:28,195440,99123,24,1.0,52713912,63971328,493164,274,15,1428,120398397,164
2026-08-26T15:07:56Z,18:59,195440,99123,24,2.7,41698864,55787520,295940,274,15,1428,120398397,164
2026-08-26T15:08:27Z,19:30,195440,99225,24,0.9,61949928,73269248,650858,274,15,1428,120398396,164
2026-08-26T15:08:58Z,20:01,195440,99225,24,8.4,37477208,55615488,174575,288,17,1428,120398396,166
2026-08-26T15:09:29Z,20:32,195552,100249,24,0.7,47835704,60743680,382497,275,16,1428,120397481,193
