utc,elapsed,rss_kb,footprint_kb,threads,pcpu,heap_alloc,heap_inuse,heap_objects,goroutines,fds,disk_files,disk_bytes,publishes_recent
2026-08-26T16:32:29Z,00:25,129696,95539,24,0.8,42640624,51437568,288302,275,16,798,37746069,40
2026-08-26T16:33:00Z,00:56,130400,92057,24,1.1,63514032,69296128,602404,275,16,798,37746069,40
2026-08-26T16:33:31Z,01:27,130752,94515,24,0.4,48164016,54747136,380774,275,16,798,37746073,40
2026-08-26T16:34:01Z,01:58,101648,94515,24,0.6,69003272,74375168,742762,274,15,798,37746201,40
2026-08-26T16:34:32Z,02:29,102288,94822,24,0.4,55243480,60858368,500988,274,15,798,37746199,41
2026-08-26T16:35:04Z,03:00,102352,94924,24,0.5,39775936,49528832,238248,274,15,798,37746207,41
2026-08-26T16:35:35Z,03:31,101024,94924,24,0.9,60565632,66166784,592722,274,15,798,37745956,41
2026-08-26T16:36:05Z,04:02,101744,94924,24,1.4,44276672,51748864,319841,275,15,798,37745729,41
2026-08-26T16:36:37Z,04:33,101776,94924,24,2.7,66857256,72957952,698978,274,15,798,37745730,42
2026-08-26T16:37:08Z,05:04,102000,94720,24,2.0,51554232,57573376,441837,274,15,798,37745729,42
2026-08-26T16:37:39Z,05:35,102016,94720,24,1.3,36452016,47865856,180501,274,15,798,37745636,42
2026-08-26T16:38:10Z,06:06,102256,95027,24,1.9,59153184,65241088,545869,274,15,798,37745636,43
2026-08-26T16:38:41Z,06:37,102336,95027,24,2.9,43033984,51200000,297499,274,15,798,37745636,43
2026-08-26T16:39:12Z,07:08,102352,95027,24,1.6,62995960,68321280,639617,274,15,798,37745384,43
2026-08-26T16:39:43Z,07:39,102496,95232,24,1.3,48473544,54943744,391975,274,15,798,37745385,43
2026-08-26T16:40:14Z,08:10,102416,95232,24,0.8,36886296,48504832,178867,274,15,798,37745386,44
2026-08-26T16:40:45Z,08:41,102480,95334,24,2.0,53412512,59613184,472668,274,15,798,37745395,44
2026-08-26T16:41:16Z,09:12,93488,95232,24,0.5,41043440,50438144,258042,274,15,798,37745055,44
2026-08-26T16:41:47Z,09:43,93536,95232,24,1.8,59628216,65445888,584393,274,15,798,37745055,44
2026-08-26T16:42:18Z,10:14,136304,105676,24,2.9,61135496,73580544,546506,276,17,798,37745135,91
2026-08-26T16:42:49Z,10:45,136736,103731,24,1.4,44844744,60514304,325104,276,17,798,37745134,91
2026-08-26T16:43:20Z,11:16,136736,103731,24,0.9,64599496,77201408,660587,276,17,798,37745134,91
2026-08-26T16:43:51Z,11:47,136736,103731,24,1.3,46569144,61874176,349784,274,15,798,37745946,91
2026-08-26T16:44:22Z,12:18,136752,103731,24,0.9,67040824,79560704,687918,274,15,798,37745886,92
2026-08-26T16:44:53Z,12:49,110704,103219,24,0.5,51247024,64585728,434512,274,15,799,37775784,92
2026-08-26T16:45:24Z,13:20,110720,103219,24,2.1,69986040,82354176,759635,274,15,799,37775788,92
2026-08-26T16:45:55Z,13:51,110720,103219,24,0.5,54418144,67305472,480132,274,15,799,37775586,92
2026-08-26T16:46:26Z,14:22,110736,103219,24,2.0,39458640,56967168,229000,274,15,799,37775586,93
2026-08-26T16:46:57Z,14:53,110752,103219,24,0.9,59384856,71770112,568122,274,15,799,37775585,93
2026-08-26T16:47:28Z,15:24,136608,108851,24,1.9,60574688,73342976,606475,274,15,799,37775584,103
2026-08-26T16:47:59Z,15:55,136608,103833,24,1.0,45676544,60809216,341527,274,15,799,37775585,103
2026-08-26T16:48:30Z,16:26,136608,103833,24,1.5,66373072,78503936,693370,274,15,799,37775584,104
2026-08-26T16:49:01Z,16:57,136608,103424,24,1.6,50302408,63791104,418049,274,15,799,37775585,104
2026-08-26T16:49:33Z,17:28,136608,103424,24,0.8,37081568,56254464,183973,274,15,799,37775585,104
2026-08-26T16:50:04Z,18:00,136672,103833,24,1.1,56528184,69074944,517579,274,15,799,37775114,104
2026-08-26T16:50:35Z,18:31,136848,104345,24,1.9,43409816,59424768,290283,274,15,799,37774269,105
2026-08-26T16:51:06Z,19:02,136848,104243,24,0.5,62410272,74932224,621840,274,15,799,37774266,105
2026-08-26T16:51:36Z,19:33,136848,104550,24,2.5,47643808,62750720,360170,274,15,799,37774823,105
2026-08-26T16:52:07Z,20:03,137584,107724,25,20.3,53329640,70197248,322247,296,20,799,37778266,137
2026-08-26T16:52:38Z,20:35,138288,105062,24,1.6,58607584,71589888,553871,279,20,799,37778604,154
2026-08-26T16:53:10Z,21:06,138592,105267,24,1.8,42932184,60481536,284960,279,20,799,37778602,154
2026-08-26T16:53:41Z,21:37,138592,105267,24,1.5,61977408,74514432,610951,274,15,799,37778602,154
2026-08-26T16:54:12Z,22:08,138592,105267,24,1.8,46156624,61505536,331899,274,15,799,37778602,155
2026-08-26T16:54:43Z,22:39,114224,105267,24,1.3,66551840,79241216,686938,274,15,799,37778601,155
2026-08-26T16:55:14Z,23:10,114304,103936,24,3.7,48671240,62808064,392416,274,15,799,37778602,155
2026-08-26T16:55:45Z,23:41,114304,103936,24,1.8,68464608,80568320,731959,274,15,799,37778426,155
2026-08-26T16:56:16Z,24:12,114304,103936,24,3.5,55849216,68583424,487801,274,15,799,37778426,156
2026-08-26T16:56:47Z,24:43,114336,103628,24,2.8,39652672,56819712,233805,274,15,799,37778426,156
2026-08-26T16:57:18Z,25:14,114336,103628,24,2.1,59982072,72392704,581897,274,15,799,37778422,156
2026-08-26T16:57:49Z,25:45,114336,103628,24,1.3,44723536,60399616,322350,274,15,799,37778421,156
2026-08-26T16:58:20Z,26:16,114336,103628,24,2.0,66312080,78749696,678392,274,15,799,37778422,157
2026-08-26T16:58:51Z,26:47,114336,103833,24,1.7,48840936,63176704,396617,274,15,799,37778422,157
2026-08-26T16:59:22Z,27:18,114336,103833,24,2.8,69298264,81575936,736148,274,15,799,37778422,157
2026-08-26T16:59:53Z,27:49,109744,103833,24,1.1,52196328,65568768,450626,274,15,799,37778422,157
2026-08-26T17:00:24Z,28:20,109840,103833,24,4.1,38684192,57262080,214457,274,15,799,37778422,158
2026-08-26T17:00:55Z,28:51,109856,103833,24,1.7,58820112,71352320,563805,274,15,799,37778422,158
2026-08-26T17:01:26Z,29:22,109872,103833,24,3.0,42806208,59736064,284750,274,15,799,37778421,158
2026-08-26T17:01:57Z,29:53,109872,103833,24,3.2,61810144,74219520,619310,274,15,799,37778422,158
2026-08-26T17:02:28Z,30:24,149968,123699,24,2.7,61211424,73867264,601380,279,20,799,37778975,217
2026-08-26T17:02:59Z,30:55,150016,106291,24,2.1,44194104,60497920,308246,279,20,799,37778975,217
