callsign,site,state,freq_mhz,lat,lon,power_w,status,same
WXL84,Williston,ND,162.550,48.141667,-103.892778,1000,NORMAL,030083|030085|030091|038023|038053|038105
WXL85,Medford,OR,162.400,42.42794,-123.002217,500,NORMAL,041029|041033
WXL86,Spokane,WA,162.400,47.921667,-117.113333,100,NORMAL,016009|016017|016055|053043|053051|053063|053065
WXL87,Yuma,CA,162.550,33.0536,-114.8278,100,NORMAL,004027|006025|006065
WXL88,Redding,CA,162.550,40.654444,-122.523611,100,NORMAL,006007|006021|006089|006103
WXL89,Bakersfield,CA,162.550,35.706194,-118.560306,100,NORMAL,006019|006029|006031|006107
WXL90,Des Moines,NM,162.550,36.705556,-103.876667,100,NORMAL,035007|035021|035033|035059|040025
WXL91,Las Cruces,NM,162.400,32.292556,-106.697528,100,NORMAL,035013|035035|035051
WXL92,Lynchburg,VA,162.550,37.43665,-79.1241,1000,NORMAL,051009|051011|051019|051029|051031|051037|051147|051163|051678|051680
WXL93,Worcester,MA,162.550,42.303889,-71.8975,500,NORMAL,009013|009015|025011|025013|025015|025017|025021|025027|033005|033011|044007
WXL94,Waterloo,IA,162.550,42.772583,-92.376778,900,NORMAL,019013|019017|019019|019023|019037|019065|019067|019075
WXL95,Spout Springs,OR,162.400,45.747009,-118.03772,300,NORMAL,041059|041061|041063|053071
WXL96,Salem,OR,162.475,44.846889,-123.110917,100,NORMAL,041003|041005|041043|041047|041053|041071
WXL97,Klamath Falls,OR,162.550,42.243056,-121.705,100,NORMAL,006049|006093|041035
WXL98,Roseburg,OR,162.550,43.119167,-123.242778,100,NORMAL,041019
WXL99,Medill,MO,162.450,40.4428,-91.8056,300,NORMAL,017001|017067|019111|019177|029045|029103|029111|029199
WXM20,Lincoln,NE,162.475,40.821444,-96.662139,991,NORMAL,031023|031025|031067|031097|031109|031131|031151|031153|031155|031159
WXM22,Logan,UT,162.400,41.713611,-111.717222,100,NORMAL,016041|049003|049005|049033|049057
WXM23,Vernal,UT,162.400,40.41391,-109.593289,300,NORMAL,049013|049047
WXM24,Milford/Cedar City,UT,162.400,38.5197,-113.2867,100,NORMAL,049001|049021|049023|049027
WXM25,Aberdeen,SD,162.475,45.4658,-98.3367,1000,NORMAL,038021|046013|046025|046037|046045|046049|046059|046089|046091|046115
WXM26,Pierre,SD,162.400,44.4233,-100.354167,700,NORMAL,046017|046065|046069|046075|046085|046117|046119
WXM27,Wessington,SD,162.550,44.3997,-98.8011,1010,NORMAL,046005|046017|046059|046069|046073|046077|046111|046115
WXM28,Sioux Falls,SD,162.400,43.518722,-96.534917,900,NORMAL,019119|019167|027105|027117|027133|046079|046083|046087|046099|046101|046125
WXM31,Elmira,NY,162.400,42.106111,-76.871111,1000,NORMAL,036015|036097|036101|036107|036109|042015
WXM32,Columbus,AL,162.400,32.4667,-85.0561,1000,NORMAL,001081|001113|013053|013145|013197|013215|013259|013263|013307
WXM33,Johnstown,PA,162.400,40.371218,-78.982065,250,NORMAL,042009|042021|042063|042111|042129
WXM34,The Dalles,OR,162.400,45.711858,-121.11673,291,NORMAL,041027|041055|041065|053039|053059
WXM35,Hays,KS,162.450,39.0208,-99.470722,1070,NORMAL,020009|020051|020065|020135|020145|020163|020165|020167|020195
WXM36,Lancaster,MO,162.550,40.497778,-92.528889,300,NORMAL,019007|019051|029001|029171|029197|029199|029211
WXM37,Cheyenne,WY,162.550,41.288056,-105.445,1000,NORMAL,056001|056015|056021|056031
WXM38,Petersburg,ND,162.400,48.138389,-97.993556,991,NORMAL,027089|038019|038027|038035|038039|038063|038067|038071|038091|038099
WXM39,La Plata,MO,162.525,39.955556,-92.4925,303,NORMAL,029001|029041|029103|029115|029121|029175|029205|029211
WXM40,Lowry,SD,162.500,45.397222,-99.941389,1000,NORMAL,038029|038051|046021|046031|046041|046045|046049|046089|046107|046119|046129
WXM41,South Shore,SD,162.425,45.178889,-97.015833,1000,NORMAL,027011|027073|027155|046029|046051|046109
